country,country_m49,year,milk_total_tonnes,ch4_total_ktco2e,kg_co2e_per_ton_milk
Bangladesh,50,2022,13074000.0,793.6521,0.0607046122074346
Bangladesh,50,2023,14068000.0,798.87380000000007,0.05678659368780211
Bangladesh,50,2021,11985000.0,788.4964,0.065790271172298714
Bangladesh,50,2020,10680000.0,783.42990000000009,0.073354859550561813
Barbados,52,2020,3978.0,0.215,0.054047259929612873
Barbados,52,2023,4119.33,0.2148,0.052144402123646315
Barbados,52,2021,4341.0,0.21539999999999998,0.049619903248099513
Barbados,52,2022,4039.0,0.21509999999999999,0.053255756375340427
Belarus,112,2021,7827961.41,160.5104,0.020504751057529802
Belarus,112,2020,7765300.0,163.3779,0.021039483342562428
Belarus,112,2023,8347289.69,159.043,0.019053250325136373
Belarus,112,2022,7885673.98,159.4698,0.020222722928243602
Belgium,56,2021,4438000.0,74.1404,0.016705813429472735
Belgium,56,2022,4618000.0,75.4145,0.016330554352533565
Belgium,56,2020,4457000.0,74.2357,0.016655979358312766
Belgium,56,2023,4627000.0,73.9059,0.015972746920250705
Belize,84,2022,5465.0,0.4405,0.080603842634949685
Belize,84,2021,5739.0,0.4382,0.076354765638613
Belize,84,2020,4522.0,0.4474,0.098938522777532067
Belize,84,2023,6525.0,0.442,0.067739463601532574
Benin,204,2023,175044.07,46.3293,0.26467220511954503
Benin,204,2021,141706.43,42.275,0.29832802929267221
Benin,204,2020,128728.18000000001,36.9401,0.28696203115743574
Benin,204,2022,152109.77,45.0449,0.29613416679283655
Bhutan,64,2020,57912.0,4.8498,0.08374430169912972
Bhutan,64,2023,43829.0,3.5183,0.08027333500650255
Bhutan,64,2021,54403.0,4.1446000000000005,0.0761832987151444
Bhutan,64,2022,42255.0,3.9586,0.093683587741095725
Bolivia (Plurinational State of),68,2022,630188.25,67.233,0.10668716847703841
Bolivia (Plurinational State of),68,2021,621549.03,67.0594,0.10789076446632052
Bolivia (Plurinational State of),68,2023,637311.83,67.0123,0.10514836983333575
Bolivia (Plurinational State of),68,2020,619765.21000000008,67.0557,0.10819532771127954
Bosnia and Herzegovina,70,2022,573522.0,29.157500000000002,0.050839374949871154
Bosnia and Herzegovina,70,2023,583375.0,27.9005,0.047826012427683737
Bosnia and Herzegovina,70,2021,545928.0,28.1821,0.051622375111736341
Bosnia and Herzegovina,70,2020,645016.0,36.959999999999994,0.057300904163617633
Botswana,72,2021,34681.83,6.5987,0.19026389322593415
Botswana,72,2020,35060.020000000004,6.5614000000000008,0.18714763996141473
Botswana,72,2022,38342.44,6.3854,0.1665360889917282
Botswana,72,2023,34152.0,6.2175,0.18205375966268447
Brazil,76,2021,36269557.98,1221.6933,0.033683710749209408
Brazil,76,2020,36407167.01,1227.2029,0.033707728471784763
Brazil,76,2022,35622549.14,1208.3717000000001,0.033921539282632036
Brazil,76,2023,36338658.36,1209.7781000000002,0.03329176570073019
Brunei Darussalam,96,2020,235.49,0.1417,0.60172406471612372
Brunei Darussalam,96,2023,169.43,0.0654,0.38600011804284956
Brunei Darussalam,96,2021,186.27,0.0827,0.443979170022011
Brunei Darussalam,96,2022,182.03,0.077,0.42300719661594244
Bulgaria,100,2020,1005450.0,39.935500000000005,0.039719031279526584
Bulgaria,100,2021,953070.0,37.662,0.039516509805155968
Bulgaria,100,2022,868600.0,34.6437,0.039884526824775508
Bulgaria,100,2023,815780.0,33.2893,0.04080671259408173
Burkina Faso,854,2020,421115.0,196.53289999999998,0.46669650807974067
Burkina Faso,854,2022,435114.93000000005,195.2638,0.44876373237755823
Burkina Faso,854,2023,440911.63,195.9049,0.44431783303153061
Burkina Faso,854,2021,427885.0,193.9548,0.45328721502272812
Burundi,108,2022,90888.43,29.028,0.31938058562569516
Burundi,108,2021,111649.98,29.9717,0.2684433978402862
