country_m49,country,mean_intensity_kg_co2e_per_t,std_intensity_kg_co2e_per_t,q05_kg_co2e_per_t,q50_kg_co2e_per_t,q95_kg_co2e_per_t
144,Sri Lanka,0.08437263155023009,0.007475473876075796,0.07351007638623236,0.08362305942685166,0.09853208186643983
148,Chad,0.9383970394560052,0.11269910985007651,0.767864974354613,0.925766998941692,1.13789375270422
152,Chile,0.017366638091273447,0.00030775758391575914,0.01690867671219226,0.0173478927710528,0.017907029201288997
156,"China, mainland",0.046166144621090206,0.004149368939967571,0.040355306326432056,0.04575134828398159,0.05323094178039244
158,"China, Taiwan Province of",0.013304013932599605,0.0003605317279743951,0.012802349382271181,0.013268653856672662,0.013930265435567473
170,Colombia,0.03543917582700164,0.0005810277282794402,0.03452506544554393,0.03542490285216046,0.036424707951774646
174,Comoros,0.034840087947261254,0.0003854875374673699,0.03425299814762298,0.034823841458651125,0.03544658366271406
178,Congo,0.03553428758344251,0.00037009503829266784,0.03497576934964626,0.03553357236708346,0.0361441600024032
180,Democratic Republic of the Congo,0.052739905655787636,0.0006217788829298222,0.05176121562037732,0.052747023166004756,0.05376216531520097
188,Costa Rica,0.04612115225371575,0.0026318180602102987,0.04270338869971452,0.04556853420892236,0.05070157519584208
191,Croatia,0.027435181548560082,0.0027674351003390127,0.0230676298019756,0.02756034692049264,0.03187832172672212
192,Cuba,0.06341662633303825,0.0033063675660935793,0.059248025502843464,0.06316999616382094,0.06773954503570138
196,Cyprus,0.006281749703291656,0.0001145487892637721,0.006112120759823692,0.006265125620168247,0.006494939899690315
203,Czechia,0.011744515020371047,0.00015640006094642825,0.011495566131572545,0.011748425386072011,0.011990712537760524
204,Benin,0.35404315855771185,0.02562445199470464,0.31618267143195805,0.3519069703123624,0.39791932825350385
208,Denmark,0.01346830962098134,0.00014608829120227128,0.013219976590118714,0.013467038768525508,0.013699848415383345
212,Dominica,0.07764963953050004,0.0008615456493842888,0.07621016627112683,0.07766834518163696,0.07907094551284069
214,Dominican Republic,0.04759869629351205,0.0006936237716384414,0.04645684537639631,0.04766826348852852,0.048609634893374484
218,Ecuador,0.02975445954383202,0.001024304664610676,0.028642155813196696,0.029503720038250948,0.031699138066458195
222,El Salvador,0.06233117968435592,0.0008173603945847329,0.06097934655149668,0.06235153747963877,0.06357562286614397
231,Ethiopia,0.25147789113268426,0.042209343561408756,0.19598237320584241,0.24381384579811052,0.33020873440669984
232,Eritrea,0.817128604577093,0.1299465656536561,0.6386619893071039,0.7940143703655225,1.060234705738146
233,Estonia,0.01348990451144298,0.00019410797695019425,0.013133512402337568,0.013501178331533227,0.013778266722956066
234,Faroe Islands,0.02067456213933057,0.00037665065901491026,0.020079725669284742,0.020660536755036357,0.021310834460468314
242,Fiji,0.31608424916627414,0.017434229890599295,0.2912963011820384,0.3131770049694441,0.349907581708668
246,Finland,0.014639386588076394,0.000154762983073835,0.014405801167404605,0.014635106396226958,0.014895541105130708
250,France,0.022604486823642394,0.0015995362503455892,0.02044902976503896,0.022323954521110856,0.025599343468030264
258,French Polynesia,0.07230324571095478,0.0058938492850919705,0.06819016735806098,0.0703342589819672,0.08824133587765978
262,Djibouti,0.9537742345436958,0.24127064751933014,0.6207173210517282,0.912909218618455,1.4212250206842851
266,Gabon,0.03581887892667352,0.0003608986172769358,0.03524069594312712,0.03582418936377203,0.036415813074168836
268,Georgia,0.04161797348612573,0.0030446882137800404,0.03785439064550768,0.04096584427630047,0.04717427809455729
270,Gambia,0.035210947805440485,0.0004931460665741418,0.034273794685813846,0.0352387959386649,0.0360057664178601
276,Germany,0.016036860677549,0.0002252656897822996,0.0156306913093372,0.016056977145973008,0.0163629925960458
288,Ghana,0.35834970291248897,0.004133231177128704,0.35132451920719815,0.35839770931900394,0.36501352927618214
300,Greece,0.13154384661369822,0.017955582938327358,0.10322123670298226,0.12993661021217948,0.16144312136951794
308,Grenada,0.0968911936888347,0.001810865252511466,0.0940366287847891,0.09681662401189516,0.09986807157533868
320,Guatemala,0.09284993005414748,0.002140715723014645,0.08912736139902215,0.09294387071808972,0.0961917923499313
324,Guinea,0.39127814463000815,0.038336950628181564,0.33492414183848673,0.3872637180862427,0.45997403525882774
328,Guyana,0.136983369469849,0.0020233135391231494,0.13389766698488942,0.13696831157062436,0.14004604997133696
332,Haiti,0.7123577643544948,0.07375835101806641,0.5985988401257054,0.7055390724680726,0.8466437564433184
340,Honduras,0.053510581496899946,0.0005851414993241266,0.05258717813010719,0.05350928763098642,0.0544336019669795
344,"China, Hong Kong SAR",0.03146621970912929,0.00032862543289785876,0.03094986769728617,0.03144918682076337,0.03201773057472014
348,Hungary,0.014817734126603272,0.0003335777057534587,0.014373235666011123,0.014799594057977553,0.015342969115971754
352,Iceland,0.02305915062813088,0.00034032799338051746,0.022557313233411223,0.023039578254245408,0.02367844954992535
356,India,0.07986145893900189,0.009694096011947146,0.06466733449962445,0.07937877558799064,0.09603498367547958
360,Indonesia,0.17900569405473468,0.01769902170334293,0.1539552811761028,0.17825564742276656,0.21203149745123018
364,Iran (Islamic Republic of),0.029233312064685765,0.0029890120524469605,0.024941947553808724,0.02881393461463232,0.03475283975893629
368,Iraq,0.3019335881092372,0.033525756222143134,0.2523686993622747,0.30009664744474507,0.3617681834622515
372,Ireland,0.023059837107695835,0.00028888884836985674,0.022615276343216004,0.023047872691454387,0.023557728170172387
376,Israel,0.004117466021241368,0.00028958418026542527,0.0037471040721673214,0.004074704392350401,0.004669454043804035
380,Italy,0.02924655590827013,0.00299827807638753,0.025202386480732614,0.02892996198657579,0.03523969811593446
384,Côte d'Ivoire,0.42257195034551776,0.005869471566843057,0.4117967189883979,0.4228183486346663,0.43115275608180853
388,Jamaica,0.10201559614363256,0.013277850589381052,0.08262303830927664,0.10176873230437652,0.12493748419323389
392,Japan,0.008751181718441532,0.00010220535237007598,0.00857736735083856,0.0087534706021918,0.008927308365508212
398,Kazakhstan,0.032493665139161514,0.002031471307137343,0.03033563343352224,0.03196517883271259,0.03596829395502652
400,Jordan,0.022814298142410074,0.003115492855682956,0.018194231778769207,0.02256809497087902,0.027854512456967517
404,Kenya,0.19109730954935453,0.03932027821902745,0.14088166061299956,0.18265902293840214,0.26243793157929346
408,Democratic People's Republic of Korea,0.032764750046418725,0.000328371614714426,0.03220625679623078,0.03278396015863285,0.03329646717981625
410,Republic of Korea,0.00761067949213147,0.00012212657818549497,0.007428365373220358,0.007602510391228831,0.007809336742666798
414,Kuwait,0.011818972963788303,0.0007257638301554788,0.010770226584863858,0.011757110108184355,0.013059300957128088
417,Kyrgyzstan,0.03910115294008061,0.00041914944868742484,0.03839380838886133,0.039112023570216356,0.03980816246712621
418,Lao People's Democratic Republic,0.5039356229602882,0.0056920395613856,0.49424114916484313,0.5040885437303055,0.5131176526445136
422,Lebanon,0.025722460226791626,0.003695130680874075,0.020441133503769422,0.025434434815134705,0.0319701705809826
426,Lesotho,0.026137642369654525,0.0015184976483455742,0.025322237288793365,0.026011740568587398,0.026814550898013153
428,Latvia,0.018145413538322615,0.00034049093361439737,0.017594984282377987,0.018146985500464723,0.01865612608950946
430,Liberia,0.03765118092476119,0.00042798246260564724,0.03691544558477671,0.03764670642598146,0.0382830055522034
434,Libya,0.18489701379841786,0.022765702325267676,0.14855358676722658,0.18249067228937288,0.22408382174720115
440,Lithuania,0.020663637955993283,0.0003678643739682831,0.020033746832747928,0.02065791449923754,0.021302141623772183
442,Luxembourg,0.016652972463436604,0.00022530276387447762,0.01628423679011956,0.016652158600376506,0.01701551071657176
450,Madagascar,0.15316942827274943,0.0016814300484257155,0.15024685562233342,0.15323737111791114,0.1559099002546141
454,Malawi,0.3340622089749785,0.03473463941211474,0.2812956574920425,0.331313412771129,0.3919135708055866
458,Malaysia,0.14686498558465894,0.012161749080713519,0.12875701493819502,0.14593758156807973,0.16864499188793144
466,Mali,2.6085964991522186,0.4301242482985386,2.0186893646350694,2.5641082363243055,3.347896942998521
470,Malta,0.04008135422401925,0.00421908587623335,0.033804495174424735,0.03961859286160187,0.04824043167828612
478,Mauritania,0.726067115944493,0.08277249159417534,0.5940098542955247,0.7204994270757926,0.8688946204280271
480,Mauritius,0.05502424926089513,0.0016049604179560273,0.05249915818980622,0.05493131819756995,0.05753741248175481
484,Mexico,0.014930973217344842,0.0002970993832188478,0.014520862732409946,0.014886496141271119,0.015502293881293873
496,Mongolia,0.9238503049840722,0.06093989175607471,0.840095616198703,0.9136226397315903,1.0370367327166827
498,Republic of Moldova,0.05931534142068169,0.0068996528696019304,0.0490790595119016,0.058716707587538844,0.07221421520712522
499,Montenegro,0.07005020534621963,0.00753647149188123,0.05942252356244695,0.06918373689651985,0.08363153635443732
504,Morocco,0.04834262434321051,0.005266668623877028,0.040024532728979184,0.048076412218252776,0.057347252102498074
508,Mozambique,0.16528769313456337,0.02407038558647817,0.12744529894118034,0.16334983983686163,0.2093351472313772
512,Oman,0.07209146434306692,0.006733175397981986,0.06198488078859624,0.07166959166089276,0.08343579081946097
516,Namibia,0.10373651144387093,0.0015667450107649512,0.10133418074878302,0.1036656615319525,0.1063160964673306
