country_m49,country,delta_struct,delta_within,delta_total,delta_obs,reconstruction_error,weight_interval,weight_interval_norm
408,Democratic People's Republic of Korea,0.0,3.520886382769872e-05,3.520886382769872e-05,3.520886382769872e-05,0.0,84544.6,9.03830660632039e-05
410,Republic of Korea,6.241156342018858e-05,0.00022441318840068396,0.00028682475182087257,0.0002868247518207998,7.274996577377735e-17,2018384.705,0.002157769959677795
414,Kuwait,-0.0007062370742845495,0.000889663553270758,0.00018342647898620854,0.00018342647898569875,5.097918615026842e-16,58335.88,6.236442890373997e-05
417,Kyrgyzstan,-6.83058788953448e-05,-0.0007766985626139228,-0.0008450044415092676,-0.0008450044415094018,1.3422422895370545e-16,1723431.0,0.001842447393782377
418,Lao People's Democratic Republic,0.0,0.009540966843608278,0.009540966843608278,0.009540966843608278,0.0,8714.71,9.316528904881726e-06
422,Lebanon,-0.0035523134670749847,0.01278597805696848,0.009233664589893496,0.009233664589893501,5.204170427930421e-18,262058.5,0.00028015568963510524
426,Lesotho,0.0,-0.017562569757727704,-0.017562569757727704,-0.017562569757727704,0.0,179000.0,0.00019136135040337878
428,Latvia,-5.484536691598605e-06,-0.001913589195716569,-0.0019190737324081676,-0.0019190737324080998,6.787105599759258e-17,976890.0,0.0010443518971818809
430,Liberia,0.0,-0.00040405466393959866,-0.00040405466393959866,-0.00040405466393959866,0.0,8275.855,8.847367533757286e-06
434,Libya,0.006273485592161605,0.002739024168443218,0.009012509760604824,0.009012509760604859,3.469446951953614e-17,227733.325,0.00024346009275894715
440,Lithuania,-2.0188071857312945e-06,-0.0016862274315467187,-0.00168824623873245,-0.0016882462387323993,5.074066167232161e-17,1482320.0,0.0015846857929046726
442,Luxembourg,-8.262667092239279e-05,-0.0005811502584958587,-0.0006637769294182515,-0.0006637769294183006,4.911435841359335e-17,458375.0,0.0004900293798388198
450,Madagascar,0.0,-0.0010710415394668826,-0.0010710415394668826,-0.0010710415394668826,0.0,447543.0,0.00047844934549485667
454,Malawi,0.0030812471798634536,0.009197437592029949,0.012278684771893401,0.012278684771893422,2.0816681711721685e-17,213067.175,0.00022778113036107833
458,Malaysia,0.007309362999609554,0.012599450350268437,0.019908813349877992,0.019908813349877985,6.938893903907228e-18,46903.53,5.014258569544909e-05
466,Mali,0.004599597905481353,-0.0011916913104746563,0.0034079065950066963,0.003407906595006671,2.5153490401663703e-17,1055073.5,0.00112793457952413
