country_m49,country,delta_struct,delta_within,delta_total,delta_obs,reconstruction_error,weight_interval,weight_interval_norm
470,Malta,0.0002878725275740979,0.0022982600319950515,0.0025861325595691494,0.002586132559569101,4.85722573273506e-17,42665.0,4.5611352038883546e-05
478,Mauritania,-0.0005326895967437221,0.0018250514925277372,0.0012923618957840152,0.0012923618957841887,1.734723475976807e-16,359262.815,0.0003840727230621187
480,Mauritius,0.0,-0.0064604878048779985,-0.0064604878048779985,-0.0064604878048779985,0.0,2644.0,2.8265888852878963e-06
484,Mexico,-8.105779883917585e-05,-0.0003884059846174937,-0.00046946378345666954,-0.0004694637834566015,6.80336863234654e-17,13509404.815,0.014442334908068755
496,Mongolia,-15.190967482900383,14.580685936362974,-0.6102815465374096,-0.6102815465373945,1.509903313490213e-14,219506.625,0.00023466527476250315
498,Republic of Moldova,0.0016167434789198377,0.0019157265265863281,0.003532470005506166,0.0035324700055062025,3.642919299551295e-17,291516.0,0.0003116474604703428
499,Montenegro,-0.0017339575957977583,0.004522459659225424,0.0027885020634276655,0.002788502063427699,3.3393426912553537e-17,173560.2,0.00018554588965519835
504,Morocco,0.015265697619748875,0.0037096709291924474,0.018975368548941322,0.018975368548941107,2.1510571102112408e-16,2382086.5149999997,0.0025465882250730633
508,Mozambique,0.02334183639992861,0.09063055086182518,0.1139723872617538,0.11397238726175363,1.6653345369377348e-16,21981.025,2.3498986744415805e-05
512,Oman,-0.0011034076631065786,0.00016181735690326408,-0.0009415903062033145,-0.0009415903062032979,1.6588293239028218e-17,362648.62,0.00038769234438615504
516,Namibia,0.0,0.0168440931781888,0.0168440931781888,0.0168440931781888,0.0,107097.58499999999,0.00011449351112033878
524,Nepal,-0.007924221580662388,-0.06279535987406804,-0.07071958145473042,-0.07071958145473049,6.938893903907228e-17,2610906.215,0.0027912097155249962
528,Netherlands (Kingdom of the),-1.222747178557395e-05,-0.0003227033742040987,-0.0003349308459896726,-0.0003349308459896991,2.6454533008646308e-17,15023025.0,0.016060482408624132
540,New Caledonia,0.0,0.3035528942115769,0.3035528942115769,0.3035528942115769,0.0,300.5,3.212518759565102e-07
548,Vanuatu,0.0,-0.12197798747081606,-0.12197798747081606,-0.12197798747081606,0.0,2709.435,2.896542683967478e-06
554,New Zealand,0.0,-0.00038945099604329944,-0.00038945099604329944,-0.00038945099604329944,0.0,21558152.5,0.023046911589955175
558,Nicaragua,0.0,-0.0002200587876590998,-0.0002200587876590998,-0.0002200587876590998,0.0,1386304.925,0.0014820401258036576
562,Niger,-0.006951420725985966,-0.001837213988167793,-0.008788634714153759,-0.008788634714153892,1.3357370765021415e-16,1576376.895,0.0016852380523569006
566,Nigeria,0.0,0.00025555531347709604,0.00025555531347709604,0.00025555531347709604,0.0,523156.77,0.0005592848378763678
570,Niue,0.0,-0.00042112160881419003,-0.00042112160881419003,-0.00042112160881419003,0.0,58.8,6.28606000207747e-08
578,Norway,6.694404129028248e-07,0.0012605195744434488,0.0012611890148563516,0.0012611890148564002,4.85722573273506e-17,1488911.5,0.001591732487548158
586,Pakistan,-0.0004128804405108183,2.7211516759214088e-05,-0.0003856689237516042,-0.00038566892375169193,8.771195575407731e-17,61641675.0,0.06589851491131951
591,Panama,0.0,0.008370248974671202,0.008370248974671202,0.008370248974671202,0.0,199058.5,0.00021280504675570377
598,Papua New Guinea,-0.0008684221872210243,5.733680560456576e-06,-0.0008626885066605677,-0.0008626885066607137,1.4604203263379745e-16,204.055,2.181465941707344e-07
600,Paraguay,0.0,-0.0015673860916878973,-0.0015673860916878973,-0.0015673860916878973,0.0,550016.7150000001,0.0005879996722169292
604,Peru,-0.0001491481849159963,-4.7166045691331485e-05,-0.00019631423060732778,-0.00019631423060730013,2.7647155398380363e-17,2190047.295,0.0023412871945165743
608,Philippines,0.0,-0.0002441834837416043,-0.0002441834837416043,-0.0002441834837416043,0.0,28745.5,3.0730601664918014e-05
616,Poland,-3.6618376632652496e-05,0.00019357369718693822,0.00015695532055428572,0.00015695532055430214,1.6425662913155392e-17,15161375.0,0.016208386558502944
620,Portugal,-0.0003466952972339682,-0.0005824281678591802,-0.0009291234650931484,-0.0009291234650932005,5.2150124496552763e-17,2078900.0,0.0022224643092379
624,Guinea-Bissau,-0.00011005549671071026,0.003135621819480675,0.0030255663227699648,0.0030255663227699015,6.331740687315346e-17,38743.79,4.141935181086549e-05
626,Timor-Leste,0.0,-0.0020177076197513966,-0.0020177076197513966,-0.0020177076197513966,0.0,5759.504999999999,6.157243879636938e-06
630,Puerto Rico,5.301876549501806e-06,-0.000149825955678671,-0.0001445240791291692,-0.00014452407912909915,7.003946034256359e-17,232978.49,0.00024906747743765403
634,Qatar,-0.005317165868669102,-0.023126246015738865,-0.028443411884407965,-0.02844341188440791,5.551115123125783e-17,46693.98,4.991856462853833e-05
642,Romania,0.0010131169760089333,-0.002395012138283839,-0.0013818951622749057,-0.0013818951622749029,2.8189256484623115e-18,4340450.0,0.00464019202993489
