obs_idx,y_obs,y_rep_mean,y_rep_median,y_rep_p05,y_rep_p95,residual,residual_median_pred,within_90ci
119,-1.267234536886478,-0.6507352294226387,-0.5650547808064919,-3.616444610638536,2.3769749833477625,-0.6164993074638392,-0.7021797560799861,True
120,-3.9141478248532335,-3.9280816029516785,-3.927332048962331,-3.991086149483838,-3.8646461374701384,0.013933778098444982,0.013184224109097364,True
121,-3.5048499549748273,-2.6898829706891467,-2.693916680548104,-5.804692610144066,0.6079318749299572,-0.8149669842856806,-0.8109332744267235,True
122,-2.6243219855714974,-1.4126349295907794,-1.4544433268053978,-4.26712752569716,1.8218937895429108,-1.211687055980718,-1.1698786587660996,True
123,-3.9261172271968388,-3.9332654688835884,-3.93381625286821,-3.997637577604452,-3.868921984471803,0.007148241686749657,0.007699025671371373,True
124,-2.614077814139546,-2.7113699872950647,-2.6582767039652317,-5.584094099295495,0.4572291195102269,0.09729217315551875,0.04419888982568576,True
125,-1.8279049158644083,-1.3695227954955935,-1.438474135243287,-4.031808497370558,1.498187071977156,-0.45838212036881476,-0.38943078062112124,True
126,-3.9392350576766755,-3.934458388154621,-3.934265677320507,-4.000197216542605,-3.871010623209564,-0.004776669522054355,-0.00496938035616834,True
127,-2.283674128708348,-2.64009298744968,-2.661031386850512,-5.745677042045313,0.5556958668985683,0.35641885874133195,0.37735725814216403,True
128,-1.4472907186881663,-1.5275745713442963,-1.4427263600395284,-4.376424155014918,1.3496859003274384,0.08028385265613003,-0.004564358648637912,True
129,-3.956151252521169,-3.9403780973720512,-3.9409940038452698,-4.008485129626797,-3.876104048544427,-0.015773155149117812,-0.015157248675899293,True
130,-3.128311738453133,-2.6123528632059307,-2.678461392550785,-5.966753776153952,0.531649414803741,-0.5159588752472022,-0.44985034590234774,True
131,-2.2277830405630343,-1.3915565379345787,-1.385042040567125,-4.141573053099418,1.5268983794135593,-0.8362265026284557,-0.8427409999959092,True
132,-2.917896431286256,-2.9338790988852805,-2.9342984316441436,-2.9998621593565553,-2.867716050042477,0.01598266759902467,0.016402000357887747,True
133,-3.003363250577306,-2.941704716649306,-2.94089361574531,-3.011592455482095,-2.8728922512836177,-0.06165853392799958,-0.06246963483199597,True
134,-2.932649379289729,-2.9462987585369134,-2.942704596170022,-3.014800731357394,-2.8822002071841557,0.013649379247184346,0.010055216880292761,True
135,-2.9537384451253526,-2.9489238621628,-2.94796099955919,-3.0150639709389626,-2.87836106118733,-0.004814582962552549,-0.005777445566162331,True
136,-4.094986006404678,-4.098983231080103,-4.100005866750288,-4.168839697974841,-4.033306139712791,0.00399722467542496,0.00501986034560975,True
137,-4.091998510586236,-4.108941376529782,-4.106209259253251,-4.172699721846318,-4.04382055924016,0.016942865943546437,0.014210748667014883,True
138,-4.109845980553239,-4.110081485884518,-4.108835508843075,-4.181508397204974,-4.0459715802627905,0.00023550533127902895,-0.0010104717101633298,True
139,-4.779006108697009,-2.7634993029563417,-2.839881109941812,-6.051302953502657,0.6347269983347851,-2.015506805740667,-1.9391249987551964,True
140,-4.136871326521294,-4.1159317807067675,-4.115048083178328,-4.180007182336828,-4.049738280298236,-0.020939545814526284,-0.021823243342965704,True
141,-2.479987150005124,-2.502056687414291,-2.501082962448897,-2.5764463699694846,-2.4286633240786135,0.02206953740916706,0.02109581244377301,True
142,-2.574613017278927,-2.5055811338025564,-2.506433459608833,-2.583023847072232,-2.432992210391362,-0.06903188347637057,-0.06817955767009387,True
143,-2.367832262591948,-2.509450042411103,-2.50796482124908,-2.584003650492017,-2.434010069993173,0.1416177798191547,0.14013255865713203,False
144,-2.5223177803427745,-2.514768711337674,-2.512835102096803,-2.586260764749358,-2.4443857164963307,-0.007549069005100328,-0.009482678245971599,True
145,-3.5448892405195416,-3.5420021705089,-3.541104014079313,-3.605074500427835,-3.4729754046569825,-0.0028870700106415903,-0.003785226440228495,True
146,-0.9291973273080563,-2.285947190312207,-2.2760899877443004,-5.3121194688475395,0.7648201465449939,1.3567498630041508,1.3468926604362441,True
147,0.22482488979885304,-1.1071938389604414,-1.0845311855081992,-3.9775041759400755,1.811199627107097,1.3320187287592944,1.3093560753070521,True
148,-3.5584747100447234,-3.5459417793479386,-3.5475683066144494,-3.6095977128478354,-3.482301030000683,-0.012532930696784739,-0.010906403430273937,True
149,-0.9358883503195693,-2.3187334302174403,-2.289300230748368,-5.342447077288118,0.89560231427855,1.382845079897871,1.3534118804287987,True
150,0.2252522914276029,-1.0037314286434582,-1.0400487456696457,-3.782993962221994,1.9285652070484476,1.2289837200710612,1.2653010370972486,True
151,-3.5507155687514285,-3.5487344160213805,-3.5487593063345773,-3.614087934745966,-3.484420169723091,-0.0019811527300479526,-0.0019562624168512066,True
152,-0.925606311593937,-2.363492472899062,-2.305775747841307,-5.70762750118023,0.6651072138118562,1.437886161305125,1.3801694362473698,True
153,0.222050515180408,-1.0018114636639597,-1.0636214292924326,-4.012548572204696,2.0451729813296264,1.2238619788443676,1.2856719444728406,True
154,-3.540396415140304,-3.5536488161688764,-3.5547671292533813,-3.620182151720769,-3.492181141426022,0.013252401028572613,0.014370714113077554,True
155,-0.9228097093912425,-2.196543563240075,-2.2588897643279573,-5.2919031355055886,0.9159604688117962,1.2737338538488325,1.3360800549367147,True
156,0.21434679941750126,-1.097730935554502,-1.0398511269352508,-4.015287523796541,1.9251129638258175,1.3120777349720032,1.254197926352752,True
157,-3.0891229225012293,-3.295595672339424,-3.295857455513459,-3.370075049954589,-3.2261158299181742,0.20647274983819486,0.20673453301222988,False
158,-0.6480184123203538,-0.8429969546768872,-0.8650448992502779,-3.663123349891777,1.9916832944189362,0.19497854235653334,0.2170264869299241,True
159,-3.307674931428915,-3.302660016474735,-3.302345201835444,-3.377777285773753,-3.231155542301184,-0.00501491495418005,-0.005329729593470667,True
160,0.2733305936441143,-0.8347922127212335,-0.8168780710735111,-3.907002125359756,1.9982037299148183,1.1081228063653477,1.0902086647176255,True
161,-3.284289904036472,-3.3042780491824844,-3.3036175549937727,-3.382218527251639,-3.229322838181112,0.019988145146012215,0.0193276509573006,True
162,-0.4842692410963351,-0.7771811590943704,-0.8098338463471675,-3.6234636995090153,2.0533343693715826,0.29291191799803523,0.32556460525083236,True
163,-3.383728054653656,-3.3100973805995633,-3.3084328868291513,-3.385860899445623,-3.2368695965343734,-0.07363067405409263,-0.07529516782450463,True
164,0.9555844474973856,-0.6917008554965174,-0.7861463038943856,-3.5478863483853833,2.271969148771669,1.647285302993903,1.741730751391771,True
165,-4.927843671084019,-4.873314473961018,-4.873770051946664,-4.9430058837099935,-4.804240370729597,-0.05452919712300108,-0.054073619137354534,True
166,-0.6042231239867366,-3.649756795635769,-3.603113825539067,-6.701625764580846,-0.6351029349585964,3.045533671649032,2.9988907015523303,False
167,-4.811645376037408,-4.879396713103114,-4.879500710372062,-4.949687047034905,-4.803431740286753,0.06775133706570635,0.06785533433465396,True
168,-0.5904721363758951,-3.6509012624868102,-3.599480358938191,-6.987294329505819,-0.6018559730332058,3.060429126110915,3.009008222562296,False
169,-4.894829520576902,-4.879480995501904,-4.881065978074071,-4.954144027603772,-4.806765642218104,-0.015348525074998065,-0.013763542502831072,True
170,-0.6066993331676657,-3.6002922546696188,-3.61942808357505,-6.615541000720137,-0.3889360420220736,2.993592921501953,3.0127287504073843,True
171,-4.874745573403612,-4.886633601594115,-4.887224937611606,-4.956123362481214,-4.812478194335026,0.011888028190503164,0.012479364207994337,True
172,-0.17375100655849457,-3.5749870165182487,-3.5912588514838975,-6.781719140978039,-0.38571800818518576,3.4012360099597543,3.417507844925403,False
173,-3.441504185517636,-3.436591684856705,-3.437867281389088,-3.506952228829853,-3.37068634549507,-0.004912500660930963,-0.003636904128548224,True
174,0.702230000133384,-2.096920684963147,-2.1818483795649373,-5.3347275963274825,0.8880392681777302,2.799150685096531,2.8840783796983214,True
175,-3.4415443867696944,-3.44452899169469,-3.443702007012603,-3.505547533338136,-3.3793119659114534,0.0029846049249955264,0.0021576202429085534,True
176,0.6851881721591266,-2.1906654566274444,-2.1646982639690804,-5.322089199564129,1.066965136198873,2.875853628786571,2.849886436128207,True
177,-3.4372824145880445,-3.445114765467736,-3.445400137174046,-3.5073474031592524,-3.382335689921723,0.007832350879691585,0.00811772258600163,True
178,0.7014949135765133,-2.254803660472514,-2.18064735999899,-5.276971627660192,0.765712150138035,2.9562985740490273,2.8821422735755036,True
179,-3.458204367472341,-3.4501585080802326,-3.450677798287309,-3.5149231772174137,-3.3838335420679186,-0.008045859392108223,-0.007526569185031917,True
180,0.7029339816912221,-2.2054509608702335,-2.1658881447863294,-5.301072187549423,1.0132012993362025,2.9083849425614554,2.8688221264775517,True
181,-2.3132566037818867,-2.5486566992744715,-2.5469418823724226,-2.6375899479478586,-2.465368497378877,0.23540009549258478,0.2336852785905359,False
182,-2.5723648309469964,-2.55437655122996,-2.5530815421943034,-2.645088408395446,-2.4720639572254433,-0.017988279717036537,-0.01928328875269303,True
183,-2.518208955234406,-2.552381936320496,-2.552563995466836,-2.6401407766864704,-2.4720519272722097,0.034172981086090015,0.03435504023243041,True
184,-2.692086350113197,-2.5594650099823295,-2.5598443730110185,-2.648056024734488,-2.4817479773976983,-0.13262134013086735,-0.13224197710217833,False
185,-2.4008571103087117,-2.3969084162457754,-2.3969912852232,-2.457492732302247,-2.334598081410515,-0.003948694062936298,-0.0038658250855116982,True
186,-2.4053648267518177,-2.402082441767592,-2.402962289132109,-2.4655039130059544,-2.3394084400341724,-0.003282384984225839,-0.0024025376197087667,True
187,-2.4044996636995206,-2.4051410204219716,-2.404178783766608,-2.47135405099626,-2.3390403298803286,0.0006413567224510253,-0.00032087993291263217,True
188,-2.4043011005379995,-2.4070334212827804,-2.4101357549705344,-2.476770444675858,-2.34260074616608,0.002732320744780914,0.005834654432534947,True
189,-0.3337443174217789,-0.12132556360793448,-0.14251344925734255,-1.8484614499834635,1.7196619159625464,-0.21241875381384442,-0.19123086816443635,True
190,-1.599006333724285,-1.6886209716951899,-1.6903898147351044,-1.75941161356107,-1.6200038159624415,0.08961463797090485,0.09138348101081939,False
191,-0.6475447014041497,-0.21352422390970224,-0.20310168678427482,-2.122648933585713,1.6503908542023789,-0.4340204774944474,-0.44444301461987484,True
192,-1.6940088138843707,-1.6953663712598646,-1.6958434941953664,-1.7630964130256213,-1.6265625076774126,0.001357557375493812,0.001834680310995651,True
193,-0.6932923079094488,-0.278445547047272,-0.22984574379848383,-2.1204882800717604,1.4706317495285195,-0.41484676086217687,-0.463446564110965,True
194,-1.6970869461597589,-1.6955966446993445,-1.6980617672272404,-1.7631794836199024,-1.6289359812254924,-0.0014903014604144005,0.0009748210674815905,True
195,-0.7908880668576403,-0.30091530860098414,-0.2839868943682557,-2.071107990665727,1.4559283791664985,-0.4899727582566562,-0.5069011724893846,True
196,-1.71655688110679,-1.7017005282400233,-1.7017722374412925,-1.7681873804914343,-1.6294459844850244,-0.014856352866766676,-0.014784643665497477,True
